# the CSV layout may change over time.
# Band Name                        ,Catalogue Name                     ,Date Observed                      ,RA (J2000)                         ,RA Uncertainty                     ,DEC (J2000)                        ,DEC Uncertainty                    ,Flux Density                       ,Flux Density Uncertainty           ,Frequency                          ,Separation                         ,UV Min                             ,UV Max                             ,Names
#                                  ,                                   ,                                   ,hexagesimal                        ,decimal degrees                    ,hexagesimal                        ,decimal degrees                    ,Jy                                 ,Jy                                 ,GHz                                ,degrees                            ,klambda                            ,klambda                            ,separated by '|'
#width:35                          ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width: until EOL                   
# (note: uvmin: if greater than zero, the scale of the measured (large scale) extent of the source.)
# (note: uvmax: the scale where (small scale) structure has been measured within the source, or a limit on the resolved structure. On angular scales between uvmin and uvmax the source appears as a point source, i.e. the amplitude is constant as a function of scale.)
ALMA-Band 7                        ,ALMA                               ,2017-05-21 00:00:00.0              ,05:52:12.7867                      ,1.4444444444444445E-7              ,-06:05:49.193                      ,2.75E-7                            ,0.045                              ,0.003                              ,3.435E11                           ,0.003                              ,                                   ,null                               ,J0552-0605|J055212-060548
ALMA-Band 7                        ,ALMA                               ,2017-05-21 00:00:00.0              ,05:41:38.0834                      ,3.0555555555555556E-8              ,-05:41:49.429                      ,3.3333333333333334E-8              ,0.09                               ,0.004                              ,3.435E11                           ,0.004                              ,                                   ,-774.0                             ,J0541-0541|J0541-056|J054137-054147|J054138-054149|B0539-057
ALMA-Band 7                        ,ALMA                               ,2017-05-21 00:00:00.0              ,05:32:07.5193                      ,5.0E-8                             ,-03:07:07.037                      ,8.88888888888889E-8                ,0.068                              ,0.003                              ,3.435E11                           ,0.003                              ,                                   ,-2474.0                            ,J0532-0307|J053207-030657|J053207-030708
ALMA-Band 7                        ,ALMA                               ,2017-05-21 00:00:00.0              ,05:31:58.6152                      ,5.5E-7                             ,-48:27:35.973                      ,3.361111111111111E-7               ,0.093                              ,0.005                              ,3.435E11                           ,0.005                              ,                                   ,-838.0                             ,J0531-4827|J053158-482736|J053159-482719
ALMA-Band 7                        ,ALMA                               ,2017-05-21 00:00:00.0              ,04:39:00.8547                      ,4.166666666666666E-8               ,-45:22:22.563                      ,3.0555555555555556E-8              ,0.179                              ,0.009                              ,3.435E11                           ,0.009                              ,                                   ,-803.0                             ,J0439-4522|J0439-453|J043900-452222|J043902-452219|B0437-454
ALMA-Band 7                        ,ALMA                               ,2017-05-21 00:00:00.0              ,04:26:55.7348                      ,                                   ,+23:27:39.634                      ,                                   ,0.108                              ,0.005                              ,3.435E11                           ,0.005                              ,                                   ,-299.0                             ,J0426+2327|J0426+234|J042655+232741|B0423+233|VLA_0426+234|VLA_J0426+2327
ALMA-Band 7                        ,ALMA                               ,2017-05-19 00:00:00.0              ,21:48:05.4587                      ,2.777777777777778E-8               ,+06:57:38.604                      ,2.777777777777778E-8               ,0.45                               ,0.04                               ,3.4348E11                          ,0.04                               ,                                   ,-1459.8                            ,J2148+0657|J2148+069|J214805+065743|B2145+067
ALMA-Band 7                        ,ALMA                               ,2017-05-19 00:00:00.0              ,20:56:16.3598                      ,4.166666666666666E-8               ,-47:14:47.628                      ,2.777777777777778E-8               ,0.46                               ,0.04                               ,3.4348E11                          ,0.04                               ,                                   ,-1285.0                            ,J2056-4714|J2056-472|J205615-471445|B2052-474
ALMA-Band 7                        ,ALMA                               ,2017-05-19 00:00:00.0              ,23:57:53.2661                      ,5.2777777777777776E-8              ,-53:11:13.689                      ,3.611111111111111E-8               ,0.27                               ,0.02                               ,3.4348E11                          ,0.02                               ,                                   ,-1439.2                            ,J2357-5311|J2357-531|J235752-531116|B2355-534
ALMA-Band 7                        ,ALMA                               ,2017-05-19 00:00:00.0              ,00:06:13.8930                      ,2.777777777777778E-8               ,-06:23:35.335                      ,2.777777777777778E-8               ,1.59                               ,0.05                               ,3.4348E11                          ,0.05                               ,                                   ,-270.0                             ,J0006-0623|J0006-063|J000613-062334|J000613-062338|B0003-066
ALMA-Band 7                        ,ALMA                               ,2017-05-19 00:00:00.0              ,22:58:05.9629                      ,3.0555555555555556E-8              ,-27:58:21.257                      ,2.777777777777778E-8               ,0.97                               ,0.04                               ,3.4348E11                          ,0.04                               ,                                   ,-1454.2                            ,J2258-2758|J2258-279|J225805-275823|B2255-282
ALMA-Band 7                        ,ALMA                               ,2017-05-19 00:00:00.0              ,19:24:51.0560                      ,3.0555555555555556E-8              ,-29:14:30.121                      ,2.777777777777778E-8               ,2.24                               ,0.09                               ,3.4348E11                          ,0.09                               ,                                   ,-1237.8                            ,J1924-2914|J1924-292|J192451-291428|B1921-293
ALMA-Band 7                        ,ALMA                               ,2017-05-19 00:00:00.0              ,22:53:57.7479                      ,2.777777777777778E-8               ,+16:08:53.561                      ,2.777777777777778E-8               ,6.88                               ,0.19                               ,3.4348E11                          ,0.19                               ,                                   ,-1323.9                            ,J2253+1608|J2253+161|J225358+160853|3C454.3|B2251+158
ALMA-Band 3                        ,ALMA                               ,2017-05-19 00:00:00.0              ,21:48:05.4587                      ,2.777777777777778E-8               ,+06:57:38.604                      ,2.777777777777778E-8               ,1.51                               ,0.04                               ,1.0349E11                          ,0.04                               ,                                   ,-1459.8                            ,J2148+0657|J2148+069|J214805+065743|B2145+067
ALMA-Band 3                        ,ALMA                               ,2017-05-19 00:00:00.0              ,20:56:16.3598                      ,4.166666666666666E-8               ,-47:14:47.628                      ,2.777777777777778E-8               ,1.16                               ,0.03                               ,1.0349E11                          ,0.03                               ,                                   ,-1285.0                            ,J2056-4714|J2056-472|J205615-471445|B2052-474
ALMA-Band 3                        ,ALMA                               ,2017-05-19 00:00:00.0              ,23:57:53.2661                      ,5.2777777777777776E-8              ,-53:11:13.689                      ,3.611111111111111E-8               ,0.77                               ,0.03                               ,1.0349E11                          ,0.03                               ,                                   ,-1439.2                            ,J2357-5311|J2357-531|J235752-531116|B2355-534
ALMA-Band 3                        ,ALMA                               ,2017-05-19 00:00:00.0              ,00:06:13.8930                      ,2.777777777777778E-8               ,-06:23:35.335                      ,2.777777777777778E-8               ,3.41                               ,0.07                               ,1.0349E11                          ,0.07                               ,                                   ,-270.0                             ,J0006-0623|J0006-063|J000613-062334|J000613-062338|B0003-066
ALMA-Band 3                        ,ALMA                               ,2017-05-19 00:00:00.0              ,22:58:05.9629                      ,3.0555555555555556E-8              ,-27:58:21.257                      ,2.777777777777778E-8               ,2.23                               ,0.05                               ,1.0349E11                          ,0.05                               ,                                   ,-1454.2                            ,J2258-2758|J2258-279|J225805-275823|B2255-282
ALMA-Band 3                        ,ALMA                               ,2017-05-19 00:00:00.0              ,19:24:51.0560                      ,3.0555555555555556E-8              ,-29:14:30.121                      ,2.777777777777778E-8               ,5.25                               ,0.1                                ,1.0349E11                          ,0.1                                ,                                   ,-1237.8                            ,J1924-2914|J1924-292|J192451-291428|B1921-293
ALMA-Band 3                        ,ALMA                               ,2017-05-19 00:00:00.0              ,22:53:57.7479                      ,2.777777777777778E-8               ,+16:08:53.561                      ,2.777777777777778E-8               ,15.71                              ,0.27                               ,1.0349E11                          ,0.27                               ,                                   ,-1323.9                            ,J2253+1608|J2253+161|J225358+160853|3C454.3|B2251+158
ALMA-Band 3                        ,ALMA                               ,2017-05-19 00:00:00.0              ,21:48:05.4587                      ,2.777777777777778E-8               ,+06:57:38.604                      ,2.777777777777778E-8               ,1.65                               ,0.04                               ,9.146E10                           ,0.04                               ,                                   ,-1459.8                            ,J2148+0657|J2148+069|J214805+065743|B2145+067
ALMA-Band 3                        ,ALMA                               ,2017-05-19 00:00:00.0              ,20:56:16.3598                      ,4.166666666666666E-8               ,-47:14:47.628                      ,2.777777777777778E-8               ,1.23                               ,0.03                               ,9.146E10                           ,0.03                               ,                                   ,-1285.0                            ,J2056-4714|J2056-472|J205615-471445|B2052-474
ALMA-Band 3                        ,ALMA                               ,2017-05-19 00:00:00.0              ,23:57:53.2661                      ,5.2777777777777776E-8              ,-53:11:13.689                      ,3.611111111111111E-8               ,0.83                               ,0.03                               ,9.146E10                           ,0.03                               ,                                   ,-1439.2                            ,J2357-5311|J2357-531|J235752-531116|B2355-534
ALMA-Band 3                        ,ALMA                               ,2017-05-19 00:00:00.0              ,00:06:13.8930                      ,2.777777777777778E-8               ,-06:23:35.335                      ,2.777777777777778E-8               ,3.58                               ,0.06                               ,9.146E10                           ,0.06                               ,                                   ,-270.0                             ,J0006-0623|J0006-063|J000613-062334|J000613-062338|B0003-066
ALMA-Band 3                        ,ALMA                               ,2017-05-19 00:00:00.0              ,22:58:05.9629                      ,3.0555555555555556E-8              ,-27:58:21.257                      ,2.777777777777778E-8               ,2.36                               ,0.05                               ,9.146E10                           ,0.05                               ,                                   ,-1454.2                            ,J2258-2758|J2258-279|J225805-275823|B2255-282
ALMA-Band 3                        ,ALMA                               ,2017-05-19 00:00:00.0              ,19:24:51.0560                      ,3.0555555555555556E-8              ,-29:14:30.121                      ,2.777777777777778E-8               ,5.5                                ,0.1                                ,9.146E10                           ,0.1                                ,                                   ,-1237.8                            ,J1924-2914|J1924-292|J192451-291428|B1921-293
ALMA-Band 3                        ,ALMA                               ,2017-05-19 00:00:00.0              ,22:53:57.7479                      ,2.777777777777778E-8               ,+16:08:53.561                      ,2.777777777777778E-8               ,16.48                              ,0.33                               ,9.146E10                           ,0.33                               ,                                   ,-1323.9                            ,J2253+1608|J2253+161|J225358+160853|3C454.3|B2251+158
ALMA-Band 7                        ,ALMA                               ,2017-05-17 00:00:00.0              ,17:33:02.7058                      ,2.777777777777778E-8               ,-13:04:49.548                      ,2.777777777777778E-8               ,1.19                               ,0.06                               ,3.4348E11                          ,0.06                               ,                                   ,-833.6                             ,J1733-1304|J1733-130|J173302-130445|B1730-130|NRAO530
ALMA-Band 7                        ,ALMA                               ,2017-05-17 00:00:00.0              ,15:17:41.8130                      ,3.0555555555555556E-8              ,-24:22:19.476                      ,2.777777777777778E-8               ,1.75                               ,0.06                               ,3.4348E11                          ,0.06                               ,                                   ,-1419.8                            ,J1517-2422|J1517-243|J151743-242216|B1514-241
ALMA-Band 7                        ,ALMA                               ,2017-05-17 00:00:00.0              ,17:51:32.8186                      ,2.777777777777778E-8               ,+09:39:00.728                      ,2.777777777777778E-8               ,1.24                               ,0.05                               ,3.4348E11                          ,0.05                               ,                                   ,-709.2                             ,J1751+0939|J1751+096|J175132+093858|B1749+096
ALMA-Band 7                        ,ALMA                               ,2017-05-17 00:00:00.0              ,16:42:58.8100                      ,3.611111111111111E-8               ,+39:48:36.994                      ,2.777777777777778E-8               ,1.89                               ,0.08                               ,3.4348E11                          ,0.08                               ,                                   ,-1197.4                            ,J1642+3948|J1642+398|J164258+394842|3C345|B1641+399
ALMA-Band 7                        ,ALMA                               ,2017-05-17 00:00:00.0              ,14:27:56.2980                      ,3.888888888888889E-8               ,-42:06:19.438                      ,2.777777777777778E-8               ,1.36                               ,0.06                               ,3.4348E11                          ,0.06                               ,                                   ,-1259.8                            ,J1427-4206|J1427-421|J142755-420612|B1424-418
ALMA-Band 7                        ,ALMA                               ,2017-05-17 00:00:00.0              ,16:17:17.8911                      ,2.7777777777777776E-7              ,-58:48:07.861                      ,1.361111111111111E-7               ,0.34                               ,0.03                               ,3.4348E11                          ,0.03                               ,                                   ,-752.0                             ,J1617-5848|J1613-586
ALMA-Band 3                        ,ALMA                               ,2017-05-17 00:00:00.0              ,17:33:02.7058                      ,2.777777777777778E-8               ,-13:04:49.548                      ,2.777777777777778E-8               ,3.02                               ,0.06                               ,1.0349E11                          ,0.06                               ,                                   ,-833.6                             ,J1733-1304|J1733-130|J173302-130445|B1730-130|NRAO530
ALMA-Band 3                        ,ALMA                               ,2017-05-17 00:00:00.0              ,17:51:32.8186                      ,2.777777777777778E-8               ,+09:39:00.728                      ,2.777777777777778E-8               ,2.44                               ,0.05                               ,1.0349E11                          ,0.05                               ,                                   ,-709.2                             ,J1751+0939|J1751+096|J175132+093858|B1749+096
ALMA-Band 7                        ,ALMA                               ,2017-05-15 00:00:00.0              ,11:46:58.2980                      ,3.611111111111111E-8               ,+39:58:34.304                      ,2.777777777777778E-8               ,0.73                               ,0.07                               ,3.4348E11                          ,0.07                               ,                                   ,-1320.7                            ,J1146+3958|J1146+399|J114657+395840|B1144+402
ALMA-Band 7                        ,ALMA                               ,2017-05-15 00:00:00.0              ,11:07:08.6940                      ,3.888888888888889E-8               ,-44:49:07.618                      ,2.777777777777778E-8               ,0.44                               ,0.04                               ,3.4348E11                          ,0.04                               ,                                   ,-1466.8                            ,J1107-4449|J1107-448|J110707-444905|B1104-445
ALMA-Band 7                        ,ALMA                               ,2017-05-15 00:00:00.0              ,12:29:06.7000                      ,2.777777777777778E-8               ,+02:03:08.598                      ,2.7777777777777784E-8              ,5.37                               ,0.2                                ,3.4348E11                          ,0.2                                ,20.0                               ,3000.0                             ,J1229+0203|J1229+020|3C273|B1226+023
ALMA-Band 7                        ,ALMA                               ,2017-05-15 00:00:00.0              ,15:50:35.2690                      ,2.777777777777778E-8               ,+05:27:10.448                      ,2.777777777777778E-8               ,0.4                                ,0.04                               ,3.4348E11                          ,0.04                               ,                                   ,-1431.6                            ,J1550+0527|J1550+054|J155035+052702|B1548+056
